"","obs pred","simul pred","variable","lien"
"obs realite",42,36,"Hs","logit"
"simul realite",29,49,"Hs","logit"
"Total",71,85,"Hs","logit"
"obs realite1",42,36,"L2 de Hs","logit"
"simul realite1",29,49,"L2 de Hs","logit"
"Total1",71,85,"L2 de Hs","logit"
"obs realite2",44,34,"Angle de Hs","logit"
"simul realite2",33,45,"Angle de Hs","logit"
"Total2",77,79,"Angle de Hs","logit"
