"","obs pred","simul pred","variable","lien"
"obs realite",57,21,"Hs","logit"
"simul realite",19,59,"Hs","logit"
"Total",76,80,"Hs","logit"
"obs realite1",57,21,"L2 de Hs","logit"
"simul realite1",19,59,"L2 de Hs","logit"
"Total1",76,80,"L2 de Hs","logit"
"obs realite2",33,45,"Angle de Hs","logit"
"simul realite2",23,55,"Angle de Hs","logit"
"Total2",56,100,"Angle de Hs","logit"
