"","obs pred","simul pred","variable","lien"
"obs realite",46,32,"Hs","cloglog"
"simul realite",31,47,"Hs","cloglog"
"Total",77,79,"Hs","cloglog"
"obs realite1",46,32,"L2 de Hs","cloglog"
"simul realite1",31,47,"L2 de Hs","cloglog"
"Total1",77,79,"L2 de Hs","cloglog"
"obs realite2",46,32,"Angle de Hs","cloglog"
"simul realite2",38,40,"Angle de Hs","cloglog"
"Total2",84,72,"Angle de Hs","cloglog"
