"","obs pred","simul pred","variable","lien"
"obs realite",42,36,"Hs","probit"
"simul realite",29,49,"Hs","probit"
"Total",71,85,"Hs","probit"
"obs realite1",42,36,"L2 de Hs","probit"
"simul realite1",29,49,"L2 de Hs","probit"
"Total1",71,85,"L2 de Hs","probit"
"obs realite2",44,34,"Angle de Hs","probit"
"simul realite2",35,43,"Angle de Hs","probit"
"Total2",79,77,"Angle de Hs","probit"
