"","obs pred","simul pred","variable","lien"
"obs realite",46,32,"Hs","log"
"simul realite",45,33,"Hs","log"
"Total",91,65,"Hs","log"
"obs realite1",46,32,"L2 de Hs","log"
"simul realite1",45,33,"L2 de Hs","log"
"Total1",91,65,"L2 de Hs","log"
