"","obs pred","simul pred","variable","lien"
"obs realite",27,51,"Hs","logit"
"simul realite",27,51,"Hs","logit"
"Total",54,102,"Hs","logit"
"obs realite1",34,44,"L2 de Hs","logit"
"simul realite1",38,40,"L2 de Hs","logit"
"Total1",72,84,"L2 de Hs","logit"
"obs realite2",25,53,"Angle de Hs","logit"
"simul realite2",27,51,"Angle de Hs","logit"
"Total2",52,104,"Angle de Hs","logit"
