"","obs pred","simul pred","variable","lien"
"obs realite",31,47,"Surcote","logit"
"simul realite",19,59,"Surcote","logit"
"Total",50,106,"Surcote","logit"
"obs realite1",33,45,"L2 de Surcote","logit"
"simul realite1",28,50,"L2 de Surcote","logit"
"Total1",61,95,"L2 de Surcote","logit"
"obs realite2",40,38,"Angle de Surcote","logit"
"simul realite2",29,49,"Angle de Surcote","logit"
"Total2",69,87,"Angle de Surcote","logit"
