"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"1",-0.0378898086054987,-0.0376662853651547,-0.0373604829866596,-0.0372995654826532,-0.0372408261565191,-0.0373210982130814,-0.0372875190083073,-0.037260048713388,-0.0371742911152984,-0.0371633444389865,-0.0370865109946112,-0.0369886942207054,-0.0366933207467646,-0.0363858993041823,-0.0361672479499531,-0.0360331602554581,-0.035754573644358,-0.0354471068749497,-0.0352387053594096,-0.0350746150451859,-0.0347565450373241,-0.0345217107627581,-0.0341503042861996,-0.033860768010197,-0.0336680963958263,-0.033422915402705,-0.0334530457843137,-0.0334295174285198,-0.033460524211682,-0.0335731334683172,-0.0337860148676773,-0.0339218459014407,-0.0340534946642959,-0.0342136029425999,-0.0341876050222007,-0.0341856746475344,-0.0341007177402693
"2",-0.0378860059493933,-0.0376625494453092,-0.0373568443666135,-0.0372958881430395,-0.0372371027791819,-0.0373172304710756,-0.0372835984906871,-0.0372560464068276,-0.0371702786224317,-0.0371592731607048,-0.0370824245854753,-0.0369846254518156,-0.0366893943147425,-0.0363821290827426,-0.0361635871667242,-0.036029571485778,-0.0357511209708717,-0.0354438517769472,-0.0352356035605275,-0.0350716479203063,-0.0347537808325028,-0.0345191601411075,-0.0341480302585447,-0.0338586925967185,-0.0336661776653726,-0.0334211656847369,-0.033451353413313,-0.0334278486002002,-0.0334588750294317,-0.0335714614252402,-0.0337842792061317,-0.0339200701819273,-0.0340516770165501,-0.0342117612575688,-0.0341858388961032,-0.0341840318153521,-0.0340992098752788
"3",-0.0378822032932804,-0.0376588135254557,-0.0373532057465621,-0.0372922108034293,-0.0372333794018394,-0.0373133627290665,-0.0372796779730613,-0.0372520441002732,-0.0371662661295704,-0.0371552018824241,-0.0370783381763448,-0.0369805566829228,-0.0366854678827291,-0.0363783588613091,-0.0361599263835096,-0.036025982716115,-0.0357476682974021,-0.0354405966789538,-0.0352325017616539,-0.0350686807954503,-0.034751016627716,-0.0345166095194834,-0.034145756230918,-0.0338566171832542,-0.0336642589349422,-0.03341941596678,-0.033449661042328,-0.0334261797719015,-0.0334572258472058,-0.0335697893821945,-0.0337825435446179,-0.0339182944624439,-0.0340498593688267,-0.0342099195725603,-0.0341840727700246,-0.0341823889831882,-0.0340977020103099
"4",-0.0378784006371675,-0.0376550776056025,-0.0373495671265107,-0.0372885334638192,-0.037229656024497,-0.0373094949870574,-0.0372757574554355,-0.0372480417937187,-0.037162253636709,-0.0371511306041434,-0.0370742517672144,-0.0369764879140301,-0.0366815414507157,-0.0363745886398757,-0.0361562656002949,-0.0360223939464519,-0.0357442156239324,-0.0354373415809604,-0.0352293999627804,-0.0350657136705943,-0.0347482524229292,-0.0345140588978593,-0.0341434822032914,-0.03385454176979,-0.0336623402045118,-0.0334176662488231,-0.033447968671343,-0.0334245109436029,-0.0334555766649799,-0.0335681173391486,-0.0337808078831041,-0.0339165187429605,-0.0340480417211032,-0.0342080778875517,-0.0341823066439459,-0.0341807461510242,-0.0340961941453409
"5",-0.0378745979810546,-0.0376513416857492,-0.0373459285064593,-0.0372848561242091,-0.0372259326471545,-0.0373056272450482,-0.0372718369378097,-0.0372440394871643,-0.0371582411438476,-0.0371470593258627,-0.0370701653580839,-0.0369724191451373,-0.0366776150187023,-0.0363708184184423,-0.0361526048170802,-0.0360188051767889,-0.0357407629504627,-0.0354340864829669,-0.0352262981639069,-0.0350627465457383,-0.0347454882181424,-0.0345115082762352,-0.0341412081756647,-0.0338524663563257,-0.0336604214740814,-0.0334159165308661,-0.033446276300358,-0.0334228421153042,-0.033453927482754,-0.0335664452961028,-0.0337790722215903,-0.0339147430234772,-0.0340462240733797,-0.0342062362025432,-0.0341805405178672,-0.0341791033188602,-0.034094686280372
"6",-0.0378707953249417,-0.0376476057658958,-0.0373422898864079,-0.037281178784599,-0.037222209269812,-0.0373017595030391,-0.0372679164201839,-0.0372400371806099,-0.0371542286509863,-0.037142988047582,-0.0370660789489535,-0.0369683503762446,-0.0366736885866889,-0.0363670481970088,-0.0361489440338655,-0.0360152164071258,-0.035737310276993,-0.0354308313849735,-0.0352231963650334,-0.0350597794208823,-0.0347427240133555,-0.0345089576546111,-0.0341389341480381,-0.0338503909428615,-0.033658502743651,-0.0334141668129092,-0.033444583929373,-0.0334211732870055,-0.0334522783005281,-0.033564773253057,-0.0337773365600764,-0.0339129673039938,-0.0340444064256562,-0.0342043945175347,-0.0341787743917886,-0.0341774604866962,-0.0340931784154031
"7",-0.0378669926688289,-0.0376438698460425,-0.0373386512663564,-0.0372775014449888,-0.0372184858924695,-0.03729789176103,-0.037263995902558,-0.0372360348740555,-0.0371502161581249,-0.0371389167693013,-0.037061992539823,-0.0369642816073517,-0.0366697621546755,-0.0363632779755754,-0.0361452832506509,-0.0360116276374629,-0.0357338576035233,-0.0354275762869801,-0.0352200945661599,-0.0350568122960263,-0.0347399598085687,-0.0345064070329871,-0.0341366601204114,-0.0338483155293973,-0.0336565840132207,-0.0334124170949524,-0.0334428915583879,-0.0334195044587068,-0.0334506291183022,-0.0335631012100112,-0.0337756008985626,-0.0339111915845104,-0.0340425887779327,-0.0342025528325261,-0.0341770082657099,-0.0341758176545323,-0.0340916705504342
"8",-0.037863190012716,-0.0376401339261892,-0.037335012646305,-0.0372738241053787,-0.037214762515127,-0.0372940240190208,-0.0372600753849323,-0.0372320325675011,-0.0371462036652636,-0.0371348454910206,-0.0370579061306925,-0.036960212838459,-0.0366658357226622,-0.0363595077541419,-0.0361416224674362,-0.0360080388677998,-0.0357304049300536,-0.0354243211889867,-0.0352169927672864,-0.0350538451711702,-0.0347371956037819,-0.034503856411363,-0.0341343860927848,-0.033846240115933,-0.0336546652827902,-0.0334106673769954,-0.0334411991874029,-0.0334178356304082,-0.0334489799360762,-0.0335614291669654,-0.0337738652370488,-0.033909415865027,-0.0340407711302092,-0.0342007111475176,-0.0341752421396312,-0.0341741748223683,-0.0340901626854652
"9",-0.0378593873566031,-0.0376363980063358,-0.0373313740262536,-0.0372701467657686,-0.0372110391377845,-0.0372901562770117,-0.0372561548673064,-0.0372280302609467,-0.0371421911724022,-0.0371307742127399,-0.0370538197215621,-0.0369561440695663,-0.0366619092906488,-0.0363557375327084,-0.0361379616842215,-0.0360044500981368,-0.035726952256584,-0.0354210660909933,-0.0352138909684129,-0.0350508780463142,-0.0347344313989951,-0.0345013057897389,-0.0341321120651581,-0.0338441647024687,-0.0336527465523599,-0.0334089176590385,-0.0334395068164179,-0.0334161668021096,-0.0334473307538503,-0.0335597571239196,-0.033772129575535,-0.0339076401455436,-0.0340389534824858,-0.0341988694625091,-0.0341734760135526,-0.0341725319902043,-0.0340886548204963
"10",-0.0378555847004902,-0.0376326620864825,-0.0373277354062022,-0.0372664694261585,-0.037207315760442,-0.0372862885350026,-0.0372522343496807,-0.0372240279543922,-0.0371381786795408,-0.0371267029344591,-0.0370497333124317,-0.0369520753006736,-0.0366579828586354,-0.036351967311275,-0.0361343009010068,-0.0360008613284737,-0.0357234995831143,-0.0354178109929998,-0.0352107891695394,-0.0350479109214582,-0.0347316671942082,-0.0344987551681148,-0.0341298380375314,-0.0338420892890045,-0.0336508278219295,-0.0334071679410816,-0.0334378144454329,-0.0334144979738109,-0.0334456815716244,-0.0335580850808738,-0.0337703939140212,-0.0339058644260603,-0.0340371358347623,-0.0341970277775005,-0.0341717098874739,-0.0341708891580403,-0.0340871469555273
