"","x"
"200","07/09/1980 (evening)"
"201","09/09/1980 (morning)"
"202","10/09/1980 (evening)"
"203","12/09/1980 (morning)"
"204","13/09/1980 (evening)"
"205","15/09/1980 (morning)"
"206","16/09/1980 (evening)"
"207","18/09/1980 (morning)"
"208","19/09/1980 (evening)"
"209","21/09/1980 (morning)"
"210","23/09/1980 (evening)"
"211","24/09/1980 (morning)"
"212","26/09/1980 (evening)"
"213","27/09/1980 (morning)"
"214","29/09/1980 (evening)"
"215","30/09/1980 (morning)"
"216","02/10/1980 (evening)"
"217","04/10/1980 (morning)"
"218","05/10/1980 (evening)"
"219","07/10/1980 (morning)"
"220","08/10/1980 (evening)"
"221","10/10/1980 (morning)"
"222","11/10/1980 (evening)"
"223","13/10/1980 (morning)"
"224","14/10/1980 (evening)"
"225","16/10/1980 (morning)"
"226","17/10/1980 (evening)"
"227","19/10/1980 (morning)"
"228","21/10/1980 (evening)"
"229","22/10/1980 (morning)"
"230","24/10/1980 (evening)"
"231","25/10/1980 (morning)"
"232","27/10/1980 (evening)"
"233","28/10/1980 (morning)"
"234","30/10/1980 (evening)"
"235","31/10/1980 (morning)"
"236","02/11/1980 (evening)"
"237","04/11/1980 (morning)"
"238","05/11/1980 (evening)"
"239","07/11/1980 (morning)"
"240","08/11/1980 (evening)"
"241","10/11/1980 (morning)"
"242","11/11/1980 (evening)"
"243","13/11/1980 (morning)"
"244","14/11/1980 (evening)"
"245","16/11/1980 (morning)"
"246","17/11/1980 (evening)"
"247","19/11/1980 (morning)"
"248","21/11/1980 (evening)"
"249","22/11/1980 (morning)"
"250","24/11/1980 (evening)"
"251","25/11/1980 (morning)"
"252","27/11/1980 (evening)"
"253","28/11/1980 (morning)"
"254","30/11/1980 (evening)"
"255","02/12/1980 (morning)"
"256","03/12/1980 (evening)"
"257","05/12/1980 (morning)"
"258","06/12/1980 (evening)"
"259","08/12/1980 (morning)"
"260","09/12/1980 (evening)"
"261","11/12/1980 (morning)"
"262","12/12/1980 (evening)"
"263","14/12/1980 (morning)"
"264","15/12/1980 (evening)"
"265","17/12/1980 (morning)"
"266","19/12/1980 (evening)"
"267","20/12/1980 (morning)"
"268","22/12/1980 (evening)"
"269","23/12/1980 (morning)"
"270","25/12/1980 (evening)"
"271","26/12/1980 (morning)"
"272","28/12/1980 (evening)"
