"","seuil_t","échelle_t","forme_t","Theta_t","p_u_t","p_val_ADarling"
"1",0.131490613888946,0.0741390918995373,0.0017861367768592,Inf,0.1,0.979254885704865
"2",0.131636561198867,0.0753636631759354,-0.00855001155671407,8.94608817638465,0.1,0.951861737955976
"3",0.130515424510319,0.0717684759957918,0.0242778988912828,Inf,0.1,0.914106578155027
"4",0.130545238158401,0.0718131558360822,0.0250725091840347,Inf,0.1,0.869753899942438
"5",0.129611069098288,0.0722314888336413,0.0253978473230524,Inf,0.1,0.941233635817554
"6",0.128401719546679,0.0723421958836997,0.0288102250082454,Inf,0.1,0.511755916492102
"7",0.129043695399454,0.073812589752515,0.0220047766011346,Inf,0.1,0.85498655987777
"8",0.130687657287718,0.0739203474072594,0.0236991002207913,Inf,0.1,0.928749264453346
"9",0.130388655905046,0.0735968474141701,0.0277175609883024,Inf,0.1,0.643427159579861
"10",0.130871323428606,0.0737113608444825,0.0223906204496323,Inf,0.1,0.891962874052822
"11",0.131154717842996,0.0745374067023959,0.0156731074771099,Inf,0.1,0.972060556723512
"12",0.132193160403553,0.0770449881147072,-0.00517119217758717,15.0310763325729,0.1,0.987179820282412
"13",0.132518249606541,0.0757806675347836,0.00276868984346196,Inf,0.1,0.90304690292423
"14",0.13106923324513,0.0753584020513953,0.00420973042004836,Inf,0.1,0.985169111336463
"15",0.130614597880164,0.0745731796633568,0.0080591766317847,Inf,0.1,0.8867448727728
"16",0.130462871088373,0.0760790560712808,-0.00184599107409876,41.3435852630391,0.1,0.895034826617732
"17",0.130450827435111,0.0757991544093305,0.0010855096399092,Inf,0.1,0.756863179992824
"18",0.131501814188423,0.0762802067456827,0.00278691052963263,Inf,0.1,0.959486594405978
"19",0.132105080337473,0.0756945016121207,0.0104798836089061,Inf,0.1,0.994056408566099
"20",0.132104301637053,0.0763732145647631,0.00961810430238524,Inf,0.1,0.946528170937541
"21",0.134017506241443,0.0785670098765131,-0.00342604662133525,23.0662827554203,0.1,0.460902292183685
"22",0.13430820117706,0.0775121602890695,0.003852004489096,Inf,0.1,0.533176998265892
"23",0.134650187893996,0.0772713731295927,0.00637922819972146,Inf,0.1,0.455239990909066
"24",0.134095806088449,0.0760237833945113,0.0131023948871852,Inf,0.1,0.702364925886849
"25",0.133552964972224,0.0756865731359696,0.0123415091921314,Inf,0.1,0.875603754817565
"26",0.133499859257668,0.077061400355144,-0.0031320495858512,24.7376442838105,0.1,0.663979593224738
"27",0.133513594416163,0.0763367612545224,-0.00288708060682668,26.5743275689272,0.1,0.673476998498864
"28",0.133754283419521,0.0765669000870405,-0.00943149566692793,8.25196827523915,0.1,0.491543840111146
"29",0.133646974193158,0.0765660116527923,-0.011971381971329,6.52940076737802,0.1,0.697554794940649
"30",0.13386369278771,0.0767985871167695,-0.0114135989293353,6.86255528185179,0.1,0.5143658409694
"31",0.133726263408062,0.0759926677147588,-0.00277285476560186,27.5396577450968,0.1,0.629386469874867
"32",0.133889246829616,0.076149559873695,-0.00323091175397513,23.7029513792153,0.1,0.486490077953687
"33",0.134139565832078,0.0758476335521514,-0.000100004906723516,758.573260576642,0.1,0.373989783065219
"34",0.133568416411762,0.0756624318393251,0.0057995691195748,Inf,0.1,0.523532650096241
"35",0.134337149029221,0.0771072101786427,-0.00150241308266822,51.4565807238147,0.1,0.157107698525416
"36",0.134895782338356,0.0780722865643443,-0.00747437614956458,10.5802205829764,0.1,0.0813614065306039
"37",0.134082842887422,0.0786870046602451,-0.0201210655384453,4.04476066011822,0.1,0.233127163702698
