"","FamilyName","LogLik","NumPar","AIC","BIC"
"2","t","36.7673751295235","2",-69.5347502590469,"-62.4210941356479"
"35","Tawn270","0.282705398667621","2",3.43458920266476,"10.5482453260638"
"31","BB8_270","9.37574956997214e-06","2",3.99998124850086,"11.1136373718999"
"38","Tawn2_90","-6.7079408441866e-05","2",4.00013415881688,"11.113790282216"
"27","J270","2.93809695760471","2",-1.87619391520942,"-0.319365853509884"
"29","BB6_270","2.9116650888032","2",-1.82333017760639,"5.29032594579268"
"30","BB7_270","2.93038118314038","2",-1.86076236628075,"5.25289375711832"
"26","G270","1.53883396375811","2",0.922332072483782,"2.47916013418332"
"28","BB1_270","1.52753427657514","2",0.944931446849711,"8.05858757024879"
"13","SJ","5.79587447500065","2",-7.5917489500013,"-6.03492088830177"
"15","SBB6","6.32230598283085","2",-8.6446119656617,"-1.53095584226263"
"16","SBB7","6.13341871747856","2",-8.26683743495711,"-1.15318131155804"
"18","C90","0.44955932652934","2",3.10088134694132,"4.65770940864086"
"23","BB7_90","1.050671800601","2",1.89865639879801,"9.01231252219708"
"21","BB1_90","0.552954194162198","2",2.8940916116756,"10.0077477350747"
"5","F","5.42827446516568","2",-6.85654893033137,"-5.29972086863183"
"24","BB8_90","1.71100779772769e-05","2",3.99996577984405,"11.1136219032431"
"3","C","2.04712347222317","2",-0.0942469444463487,"1.46258111725319"
"9","BB7","4.25001696322607","2",-4.50003392645214,"2.61362219694693"
"7","BB1","4.75474815434861","2",-5.50949630869721,"1.60415981470186"
"12","SG","6.32273849861015","2",-8.64547699722029,"-7.08864893552075"
"14","SBB1","6.32206751963288","2",-8.64413503926575,"-1.53047891586668"
"19","G90","0.281622636623661","2",3.43675472675268,"4.99358278845222"
"22","BB6_90","0.735660967388448","2",2.5286780652231,"9.64233418862218"
"37","Tawn2_180","3.5692245256897","2",-3.13844905137941,"3.97520707201967"
"1","N","0.973803403376354","2",2.05239319324729,"3.60922125494683"
"39","Tawn2_270","0.226343279443591","2",3.54731344111282,"10.6609695645119"
"33","Tawn180","4.05593637711991","2",-4.11187275423982,"3.00178336915925"
"20","J90","0.75264929576126","2",2.49470140847748,"4.05152947017702"
"25","C270","-0.000194072414622951","2",4.00038814482925,"5.55721620652878"
"10","BB8","5.38383873592614","2",-6.76767747185227,"0.345978651546805"
"17","SBB8","7.88549691603069","2",-11.7709938320614,"-4.65733770866231"
"32","Tawn","4.63431759323706","2",-5.26863518647411,"1.84502093692496"
"36","Tawn2","2.28620530932153","2",-0.572410618643064,"6.54124550475601"
"11","SC","2.55593631377888","2",-1.11187262755777,"0.444955434141768"
"6","J","3.85931458237606","2",-3.71862916475213,"-2.16180110305259"
"4","G","4.75381548113439","2",-5.50763096226878,"-3.95080290056925"
"34","Tawn90","0.8481773365242","2",2.3036453269516,"9.41730145035067"
"8","BB6","4.75057338206416","2",-5.50114676412832,"1.61250935927076"
