"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","indice_originel"
"1",4.13001841268382,4.1100179766494,4.10001754456199,4.09001712512695,4.08001669415471,4.07001627861691,4.06001589623948,4.05001554193933,4.03001519031003,4.02001485575377,4.01001455129621,4.00001427349223,3.99001401970875,3.98001379729538,3.97001361638677,3.95001343891342,3.94001330281408,3.93001319576498,3.92001312408436,3.91001308570473,3.90001306727791,3.89001308745159,3.8700131400581,3.86001322188053,3.85001334222522,3.8400134731673,3.8300136444843,3.82001384819083,3.81001407369944,3.80001433558184,3.79001462341244,3.78001493902153,3.7700152477295,3.7600156023013,3.75001597500791,3.73001636750142,3.72001676029287,1
"7",3.84034984098281,3.88034155634367,3.91033334668171,3.94032537741657,3.96031718894093,3.99030929371572,4.01030202853723,4.04029529684501,4.07028861588619,4.09028225933346,4.12027647462849,4.15027119635126,4.17026637446658,4.20026214861915,4.22025871136037,4.25025533936795,4.28025275348174,4.30025071957042,4.33024935762909,4.35024862837851,4.380248278281,4.4102486616056,4.43024966112388,4.46025121575867,4.4802535023143,4.51025599019488,4.54025924519788,4.5602631156317,4.59026740028848,4.62027237607035,4.64027784485557,4.67028384140303,4.69028970684884,4.72029644371446,4.75030352515477,4.77031098255716,4.80031844557142,7
"15",1.08079174538214,1.09077299593568,1.1007544161744,1.11073638046908,1.12071784865578,1.13069998051451,1.14068353826847,1.15066830338608,1.16065318332137,1.17063879743888,1.18062570573817,1.19061376016338,1.20060284747699,1.21059328371704,1.22058550465769,1.23057787330642,1.24057202103762,1.25056741797519,1.26056433568689,1.27056268527767,1.28056189295173,1.29056276047585,1.30056502254354,1.31056854092754,1.33057371576397,1.34057934623053,1.35058671281626,1.36059547221911,1.37060516907394,1.38061643005396,1.3906288067784,1.41064237791212,1.4206556523421,1.44067089893272,1.45068692535027,1.47070380262939,1.480720692609,15
"29",7.18156507808097,7.1615280152217,7.1514912877866,7.13145563581097,7.11141900315678,7.09138368241241,7.07135118029813,7.06132106483295,7.04129117633293,7.02126273912337,7.00123686018011,6.99121324683459,6.97119167524522,6.95117277013834,6.93115739292799,6.92114230769874,6.90113073926042,6.88112164018353,6.86111554728806,6.8411122848512,6.83111071862551,6.81111243349878,6.79111690502793,6.77112385997306,6.76113408930088,6.74114521929291,6.72115978114843,6.70117709624708,6.70119626444848,6.69121852452527,6.68124299014336,6.67126981680303,6.66129605695532,6.66132619556467,6.65135787569239,6.64139123775577,6.63142462492477,29
"60",1.13327745762838,1.13319984364075,1.13312293207076,1.13304827263945,1.13297155955185,1.14289759375775,1.14282953050667,1.14276646517959,1.14270387514426,1.14264432428189,1.15259013073011,1.15254068160656,1.15249550816057,1.15245591864264,1.1524237169551,1.16239212671031,1.16236790103947,1.162348846502,1.16233608726206,1.16232925533546,1.16232597547459,1.16232956662099,1.16233893052908,1.17235349500242,1.17237491641832,1.17239822393105,1.17242871816964,1.17246497802331,1.1725051184921,1.17255173371175,1.17260296759434,1.18265914577576,1.18271409574172,1.18277720953541,1.18284355144995,1.18291341553563,1.18298333219541,60
"63",1.48344317177813,1.48336163348775,1.48328083313052,1.47320239878414,1.47312180694492,1.4730441013073,1.46297259665588,1.4629063426325,1.46284058793245,1.45277802607142,1.45272109239624,1.45266914303611,1.44262168553948,1.44258009430434,1.4325462644416,1.43251307693724,1.43248762637293,1.42246760840378,1.42245420403373,1.42244702667264,1.41244358097612,1.41244735369733,1.41245719106145,1.40247249194074,1.40249499646195,1.40251948244441,1.39255151852654,1.39258961174359,1.38263178178665,1.38268075395561,1.37273457831541,1.37279359696666,1.36285132530169,1.36291763024226,1.35298732652326,1.35306072306272,1.3431341748345,63
"70",1.25382983812755,1.25373914313076,1.26364926893662,1.27356202645509,1.27347238419542,1.27338595225625,1.27330641767071,1.27323272335593,1.27315958443823,1.27308999691367,1.2730266696172,1.27296888637171,1.27291609942359,1.27286983751499,1.27283220857675,1.2827952941334,1.28276698548433,1.28274471950795,1.28272980983432,1.28272182645941,1.28271799381301,1.2827221902088,1.28273313230364,1.2827501514635,1.2827751832304,1.28280241897561,1.28283805269262,1.28288042375758,1.28292732947392,1.28298180119126,1.28304166999789,1.28310731641212,1.2831715276083,1.28324527855824,1.28332280169433,1.28340444062591,1.28348614099239,70
"75",0.924106028377128,0.934008792875767,0.93391243736955,0.943818903362906,0.953722796517205,0.953630131505496,0.963544861252734,0.973465852444098,0.973387439085222,0.983312833229557,0.993244939060753,0.993182988754287,1.0031263950551,1.01307679695117,1.02303645438757,1.02299687784494,1.03296652770676,1.04294265601093,1.04292667112045,1.05291811202139,1.05291400298222,1.0529185020027,1.06293023319093,1.06294847969404,1.07297531663644,1.07300451649789,1.0730427199541,1.08308814662471,1.08313843496482,1.08319683493102,1.09326102119966,1.0933314017303,1.10340024354159,1.10347931306965,1.10356242681651,1.11364995317105,1.11373754539087,75
"86",3.67471364692621,3.67460202231478,3.67449140792199,3.67438403256011,3.66427370362513,3.66416732585384,3.66406943713318,3.66397873643807,3.66388871930859,3.66380307312451,3.66372513183656,3.66365401399595,3.66358904544442,3.66353210771076,3.66348579517138,3.66344036201033,3.6634055205961,3.66337811631749,3.66335976594993,3.66334994025773,3.66334522315447,3.66335038794929,3.66336385514295,3.66338480180123,3.66341561012973,3.6634491310469,3.66349298792938,3.6635451369324,3.66360286704482,3.66366990915848,3.66374359384355,3.6638243894303,3.66390341859482,3.66399418899475,3.66408960208532,3.65419008077036,3.64429063506755,86
"94",2.65515555132554,2.65503346190679,2.65491247741468,2.66479503561262,2.66467436333999,2.66455801265264,2.66445094686442,2.67435174297914,2.67425328674377,2.67415961122994,2.67407436294624,2.67399657780807,2.68392551845483,2.68386324280864,2.6838125884687,2.6837628959488,2.69372478815198,2.69369481472225,2.69367474400774,2.69366399715689,2.6936588378252,2.68366448681954,2.6836792165626,2.6837021269701,2.6837358235794,2.67377248708255,2.67382045554775,2.67387749351981,2.67394063583027,2.67401396314209,2.66409455576639,2.66418292593939,2.66426936408809,2.66436864421301,2.65447300228082,2.65458290084258,2.65469288210513,94
