"","C_1","C_2","C_3","C_4","C_5","C_6","C_7"
"C_1",0.0791913188982795,-0.0159100337126409,-0.00142522724286353,0.0171030837360408,0.00202195352897664,-0.0174705968214223,-0.00912950003349945
"C_2",-0.0159100337126409,0.0791913188982795,0.02165979277127,-0.0344964658954808,-0.00571432176841053,0.038923828821412,0.0214101427838201
"C_3",-0.00142522724286353,0.02165979277127,0.0791913188982795,-0.0264520838244153,-0.00150571551885767,0.0273723138145927,0.0291720837547901
"C_4",0.0171030837360408,-0.0344964658954808,-0.0264520838244153,0.0791913188982795,0.00192823249105363,-0.0512411562385749,-0.016808308050153
"C_5",0.00202195352897664,-0.00571432176841053,-0.00150571551885767,0.00192823249105363,0.0791913188982795,0.0054161342875668,0.00941370887516635
"C_6",-0.0174705968214223,0.038923828821412,0.0273723138145927,-0.0512411562385749,0.0054161342875668,0.0791913188982795,0.0227095812646017
"C_7",-0.00912950003349945,0.0214101427838201,0.0291720837547901,-0.016808308050153,0.00941370887516635,0.0227095812646017,0.0791913188982795
