"","tree","couples-cond","name-copula","par","par2","tau","utd","ltd"
"1",1,"1,3","t",-0.3,2.4,-0.2,0.1,0.1
"2",1,"1,2","t",-0.2,2,-0.2,0.1,0.1
"3",1,"3,4","t",0,2,0,0.2,0.2
"4",2,"3,2;1","t",0.3,2,0.2,0.3,0.3
"5",2,"1,4;3","Rotated Tawn type 1 270 degrees",-2.3,0.2,-0.1,0,0
"6",3,"2,4;1,3","Rotated Tawn type 1 270 degrees",-1.5,0.3,-0.1,0,0
