"","C_1","C_2","C_3","C_4","C_5","C_6","C_7"
"C_1",0.0830128205128205,0.000210999495435988,-0.00305375900188065,-0.00132075363515435,0.00093625292417779,-0.0067066304297968,0.000668948672079263
"C_2",0.000210999495435988,0.0830128205128205,-0.000272292555387367,0.000644007155635062,-0.00384890601348562,-0.00437284986927205,-0.00368498004678684
"C_3",-0.00305375900188065,-0.000272292555387367,0.0830128205128205,0.00203981468739966,-0.00614318150543553,-0.0005156300169717,0.0121872849869272
"C_4",-0.00132075363515435,0.000644007155635062,0.00203981468739966,0.0830128205128205,0.00574067703316362,0.000243796156139627,-0.00189492454474565
"C_5",0.00093625292417779,-0.00384890601348562,-0.00614318150543553,0.00574067703316362,0.0830128205128205,-0.00395176826751067,0.0100149649098665
"C_6",-0.0067066304297968,-0.00437284986927205,-0.0005156300169717,0.000243796156139627,-0.00395176826751067,0.0830128205128205,-0.00700667400577955
"C_7",0.000668948672079263,-0.00368498004678684,0.0121872849869272,-0.00189492454474565,0.0100149649098665,-0.00700667400577955,0.0830128205128205
