"","FamilyName","LogLik","NumPar","AIC","BIC"
"35","Tawn270","2.11452696812453","2",-0.229053936249065,"6.88460218715001"
"37","Tawn2_180","0.818203664375397","2",2.36359267124921,"9.47724879464828"
"31","BB8_270","1.49008155155074e-05","2",3.99997019836897,"11.113626321768"
"27","J270","-0.00237769088755845","2",4.00475538177512,"5.56158344347465"
"29","BB6_270","-0.0207082221350614","2",4.04141644427012,"11.1550725676692"
"30","BB7_270","2.40368197012814","2",-0.807363940256283,"6.30629218314279"
"18","C90","-0.00191892349740846","2",4.00383784699482,"5.56066590869435"
"23","BB7_90","5.39913653909559","2",-6.79827307819119,"0.315383045207886"
"21","BB1_90","3.21584939582581","2",-2.43169879165162,"4.68195733174745"
"3","C","1.15494686732692","2",1.69010626534616,"3.24693432704569"
"9","BB7","1.13303919142773","2",1.73392161714454,"8.84757774054362"
"7","BB1","1.12416269702087","2",1.75167460595827,"8.86533072935734"
"32","Tawn","-3.54270867995113e-05","2",4.0000708541736,"11.1137269775727"
"13","SJ","2.99017892375779","2",-1.98035784751558,"-0.423529785816038"
"15","SBB6","2.97467734401336","2",-1.94935468802672,"5.16430143537235"
"16","SBB7","2.96630774417894","2",-1.93261548835789,"5.18104063504119"
"26","G270","-0.000868413390681478","2",4.00173682678136,"5.5585648884809"
"28","BB1_270","2.39216192575584","2",-0.784323851511687,"6.32933227188739"
"38","Tawn2_90","2.72493959567114","2",-1.44987919134229,"5.66377693205679"
"12","SG","1.77073624322438","2",0.458527513551237,"2.01535557525077"
"14","SBB1","1.7446712283285","2",0.510657543343004,"7.62431366674208"
"1","N","0.027923238724775","2",3.94415352255045,"5.50098158424999"
"39","Tawn2_270","-3.49471737527151e-05","2",4.00006989434751,"11.1137260177466"
"5","F","0.00156176488850254","2",3.996876470223,"5.55370453192253"
"10","BB8","1.10834664742341e-05","2",3.99997783306705,"11.1136339564661"
"17","SBB8","2.02383214356331e-05","2",3.99995952335713,"11.1136156467562"
"24","BB8_90","5.42528042266029","2",-6.85056084532057,"0.263095278078501"
"34","Tawn90","1.16917060011482","2",1.66165879977035,"8.77531492316943"
"36","Tawn2","0.00195555466315377","2",3.99608889067369,"11.1097450140728"
"33","Tawn180","0.912466730588332","2",2.17506653882334,"9.28872266222241"
"11","SC","-0.00220227613858732","2",4.00440455227717,"5.56123261397671"
"25","C270","2.42862538952048","2",-0.857250779040964,"0.699577282658574"
"4","G","-0.00149863828516212","2",4.00299727657032,"5.55982533826986"
"19","G90","3.24585503669745","2",-2.4917100733949,"-0.934882011695366"
"6","J","-0.00238800685217827","2",4.00477601370436,"5.56160407540389"
"20","J90","5.42528041387733","2",-6.85056082775467,"-5.29373276605513"
"2","t","8.64508526541623","2",-13.2901705308325,"-6.17651440743339"
"8","BB6","-0.024889544025185","2",4.04977908805037,"11.1634352114494"
"22","BB6_90","5.40569638417514","2",-6.81139276835028,"0.30226335504879"
